代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sh000001,上证指数,3046.0192,18.618,0.615,3027.4013,3026.1654,3049.194,3016.9032,319204392,370647474769
sh000002,Ａ股指数,3193.0917,19.49,0.614,3173.6017,3172.2986,3196.4298,3162.5529,318901246,370323426847
sh000003,Ｂ股指数,265.5658,1.368,0.518,264.1982,264.1974,265.5658,263.8423,242597,139366055
sh000004,工业指数,2735.3393,23.396,0.863,2711.9436,2712.9791,2739.0853,2704.075,198615980,269936292978
sh000005,商业指数,2356.5973,7.321,0.312,2349.2764,2346.2281,2361.1442,2336.945,23797774,21388973614
sh000006,地产指数,4482.8107,-17.79,-0.395,4500.6007,4499.9378,4513.0671,4449.7279,5070763,2869382369
sh000007,公用指数,4371.9295,37.406,0.863,4334.5234,4330.9798,4372.5625,4321.3311,33869178,19339675059
sh000008,综合指数,2661.6958,2.966,0.112,2658.7298,2653.7853,2665.0149,2645.3837,57850697,57113150749
sh000009,上证380,5158.5022,48.648,0.952,5109.8539,5112.153,5168.9623,5099.3049,51296901,68762119355
sh000010,上证180,7780.0545,25.794,0.333,7754.2605,7748.6851,7786.0522,7716.3535,83029098,129359605357
sh000011,基金指数,5985.1093,39.721,0.668,5945.3882,5951.2529,5995.0138,5934.1037,554043480,86295456736
sh000012,国债指数,209.7874,0.016,0.008,209.7709,209.7873,209.814,209.7348,40350627,40792687172
sh000015,红利指数,3196.5737,21.278,0.67,3175.2958,3172.4748,3196.6588,3157.9398,22388144,17879619070
sh000016,上证50,2426.1679,-0.805,-0.033,2426.9732,2423.135,2433.3334,2410.1477,34911257,57496304190
sh000017,新综指,2573.6776,15.728,0.615,2557.9499,2556.9032,2576.3691,2549.0616,309838454,357432860643
sh000018,180金融,4393.2672,-9.657,-0.219,4402.9241,4394.1153,4416.0272,4374.5237,19050093,17516702099
sh000019,治理指数,1028.1461,2.329,0.227,1025.8166,1024.7935,1028.7806,1020.5155,74089894,85384383993
sh000020,中型综指,1046.1628,14.894,1.444,1031.2693,1031.8333,1048.6979,1029.0168,55711262,81489366394
sh000021,180治理,906.983,0.85,0.094,906.1329,905.2394,907.9465,900.8284,52421697,64260348512
sh000022,沪公司债,237.0989,0.072,0.03,237.027,237.0505,237.0998,237.05,485381,393202084
sh000025,180基建,1812.9123,23.469,1.312,1789.4432,1787.7475,1814.4761,1785.443,18574994,13651995173
