序号,内部编号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
1,124,HSCANEM,恒生A股新能源物料指数,5376.22,219.99,4.27,5180.89,5382.18,5180.89,5156.23,0.0,23656295168.0
2,124,HSCAITH,恒生A股资讯科技器材指数,3414.03,133.22,4.06,3308.74,3421.15,3284.27,3280.81,0.0,51583859456.0
3,124,HSSSHCE,恒生沪深港清洁能源指数,4262.53,155.33,3.78,4126.12,4264.19,4126.12,4107.2,0.0,25081433088.0
4,124,HSSH,恒生航运主题指数,3381.12,104.14,3.18,3280.87,3390.04,3280.87,3276.98,0.0,7822628096.0
5,124,HSCIIN,恒生工业指数,913.72,26.99,3.04,883.15,918.29,883.15,886.73,739640400.0,4115475344.0
6,124,HSCAEC,恒生A股电子零件指数,2974.48,85.17,2.95,2899.68,2980.6,2888.68,2889.31,0.0,24642132480.0
7,124,HSSSHNC,恒生沪深港新世代通讯指数,4781.67,124.33,2.67,4683.55,4794.91,4683.55,4657.34,0.0,44262620928.0
8,124,HSSCMII,恒生港股通原材料及工业(可投资),1821.08,46.67,2.63,1775.2,1826.82,1775.2,1774.41,0.0,5738514432.0
9,124,HSSCMI,恒生港股通原材料及工业指数,1837.77,47.02,2.63,1791.44,1843.31,1791.44,1790.75,0.0,5768724736.0
10,124,HSBAIT,恒生沪深港通大湾区IT业指数,2895.52,74.05,2.62,2837.84,2908.12,2827.54,2821.47,0.0,22119810048.0
11,124,HSCASEMI,恒生A股半导体指数,3432.06,83.01,2.48,3362.56,3442.67,3347.26,3349.05,0.0,39597817344.0
12,125,990001,中华半导体芯片行业指数,6253.9,148.6,2.43,6129.44,6272.12,6100.83,6105.3,0.0,32035647744.0
13,124,HSFCCI,恒生外国公司综合指数,3343.83,76.66,2.35,3343.83,3343.83,3343.83,3267.17,0.0,846097136.0
14,125,CESHKB,中华香港生物科技,4018.43,84.8,2.16,3959.12,4050.27,3959.12,3933.63,0.0,2855541552.0
15,124,HSSSHTS,恒生沪深港科技精选50指数,4773.07,100.54,2.15,4689.64,4790.59,4663.77,4672.53,0.0,21693744896.0
16,124,HSIDI,恒生创新药指数,1549.26,32.36,2.13,1527.24,1561.09,1527.24,1516.9,0.0,3534573920.0
17,124,HSCAICE,恒生A股工业零件及器材指数,3373.09,70.01,2.12,3307.63,3380.66,3307.63,3303.08,0.0,31097271552.0
18,124,HSMOGI,恒生内地石油天然指数,1853.79,37.7,2.08,1820.41,1867.77,1812.56,1816.09,0.0,3951247376.0
19,124,HSSCHYS,恒生港股通红利优选指数,3089.43,61.44,2.03,3035.39,3099.47,3035.39,3027.99,0.0,14535614464.0
20,124,HSSCPB,恒生港股通创新药精选指数,1253.39,24.55,2.0,1237.07,1264.29,1237.07,1228.84,0.0,3406719728.0
21,124,HSSCID,恒生港股通创新药指数,1787.31,34.67,1.98,1763.4,1801.12,1763.4,1752.64,0.0,3447114560.0
22,124,HSCSSE,恒生A股专精特新企业指数,4497.66,81.76,1.85,4425.59,4516.2,4411.32,4415.9,0.0,21746514688.0
23,124,HSCIEN,恒生能源业指数,11064.01,195.39,1.8,10896.78,11130.33,10821.95,10868.62,562142224.0,5554811392.0
24,124,HSCSS50,恒生A股专精特新50指数,1715.56,29.38,1.74,1689.24,1722.17,1686.21,1686.18,0.0,12790218240.0
25,124,HSTECF2L,恒生科技指期货2倍杠杆指数,269.77,4.6,1.73,267.56,276.56,264.88,265.17,0.0,
26,124,HSCIMT,恒生原材料业指数,6302.48,106.44,1.72,6248.76,6316.02,6172.63,6196.04,396639872.0,1889654240.0
27,124,HSHKBIO,恒生香港上市生物科技指数,825.39,13.86,1.71,816.07,832.19,816.07,811.53,0.0,3734237488.0
28,124,HSHE,恒生沪深港通氢能主题指数,6925.79,115.09,1.69,6829.07,6946.99,6829.07,6810.7,0.0,15357865984.0
29,124,HSAMI,恒生汽车主题指数,2884.65,47.86,1.69,2836.2,2902.78,2836.2,2836.79,0.0,5465445888.0
30,124,HSCAUPG,恒生A股电网设备指数,5656.77,92.71,1.67,5570.6,5672.79,5570.59,5564.06,0.0,27173512192.0
31,124,HSCCNFI,恒生沪深港通中国新基建指数,4127.31,67.51,1.66,4072.08,4148.92,4071.54,4059.8,0.0,71363010560.0
32,124,HSCASUS,恒生A股可持续发展企业指数,2913.9,47.04,1.64,2871.87,2916.29,2871.87,2866.86,0.0,35858047488.0
33,124,HSCATI,恒生沪深港航运主题指数,3161.95,50.46,1.62,3112.37,3164.28,3112.1,3111.49,0.0,10400338432.0
34,124,HSSCHI,恒生港股通中国内地医疗保健指数,1809.71,28.63,1.61,1790.24,1825.41,1790.24,1781.08,0.0,3632440400.0
35,124,HSSCT,恒生港股通中国科技指数,3826.66,59.56,1.58,3762.8,3870.64,3762.8,3767.1,0.0,11869266688.0
36,124,HSSCPBI,恒生港股通药品及生技(可投资),1265.71,19.63,1.58,1252.82,1276.09,1252.82,1246.08,0.0,4147610688.0
37,124,HSTECH2L,恒生科指2倍杠杆指数,1094.36,16.71,1.55,1078.58,1121.4,1078.58,1077.65,0.0,
38,124,HST2LT,恒生科指股息累计2倍杠杆指数,1310.84,20.01,1.55,1291.95,1343.24,1291.95,1290.83,0.0,
39,124,HSBAI,恒生沪深港通大湾区工业指数,3868.19,58.96,1.55,3812.2,3878.66,3805.27,3809.23,0.0,18256371456.0
40,124,HSHCI,恒生医疗保健指数,2332.01,35.47,1.54,2309.73,2350.0,2309.73,2296.54,0.0,4748114944.0
41,124,HSCICH,恒生医疗保健业指数,7480.78,113.71,1.54,7410.77,7537.83,7410.77,7367.07,0.0,4748114944.0
42,124,HSCACSI,恒生A股充电桩基础设施主题指数,7305.28,110.2,1.53,7193.72,7326.93,7186.38,7195.08,0.0,15033196800.0
43,124,HSCEILI,恒生国企杠杆指数,921.67,13.77,1.52,911.37,939.58,911.37,907.9,0.0,
44,124,HSCEI2LI,恒生国指股息累计2倍杠杆指数,3050.83,45.56,1.52,3016.73,3110.13,3016.73,3005.27,0.0,
45,124,HSCHDY,恒生中国高股息率指数,2571.32,38.29,1.51,2536.46,2581.04,2536.46,2533.03,0.0,9917114624.0
46,124,HSILI,恒指杠杆指数,4880.89,72.67,1.51,4834.72,4961.59,4834.72,4808.22,0.0,
47,124,HSSCHKY,恒生港股通高股息率指数,1816.83,27.0,1.51,1792.19,1825.06,1792.19,1789.83,0.0,16893417728.0
48,124,HSME,恒生传媒指数,2040.92,29.78,1.48,2011.85,2059.36,2011.85,2011.14,0.0,11917515008.0
49,124,HSCMI,恒生中国元宇宙指数,3690.24,53.4,1.47,3632.93,3715.93,3632.93,3636.84,0.0,17884026112.0
50,124,HSHKMS,恒生港股通中小型股指数,2164.42,30.59,1.43,2139.46,2171.4,2139.46,2133.83,0.0,17230686720.0
51,124,HSSCSOY,恒生港股通中国央企红利指数,2655.8,37.26,1.42,2626.25,2665.51,2626.25,2618.54,0.0,13137539072.0
52,124,HSSCESI,恒生港股通医疗保健(可投资),739.87,10.27,1.41,733.02,747.63,732.27,729.6,0.0,548942816.0
53,124,HSSIV,恒生小型股(可投资)指数,1473.53,20.28,1.4,1458.26,1476.87,1458.26,1453.25,0.0,5040617216.0
54,124,HSHKS,恒生港股通小型股指数,1673.13,22.94,1.39,1655.93,1676.98,1655.93,1650.19,0.0,5018740480.0
55,124,HSCEF2L,恒生中国企业期货2倍杠杆指数,4376.6,58.72,1.36,4353.56,4477.98,4332.05,4317.88,0.0,
56,124,HSMI,恒生综合中型股指数,3344.35,44.11,1.34,3304.72,3355.73,3304.72,3300.24,2258470352.0,12456807168.0
57,125,H11140,香港红利,2617.29,34.25,1.33,2590.24,2634.52,2590.24,2583.04,21858408.0,14115084288.0
58,124,HSCASS,恒生A股软件服务指数,2121.05,27.75,1.33,2098.75,2129.43,2074.76,2093.3,0.0,45819376384.0
59,124,HSMSI,恒生综合中小型股指数,2016.49,26.34,1.32,1993.97,2022.54,1993.97,1990.15,0.0,18070998272.0
60,124,HSSCHES,恒生港股通医疗保健设备和服务,741.54,9.54,1.3,735.93,749.91,734.66,732.0,0.0,560038192.0
61,124,HSSCBSI,恒生保险主题指数,2329.28,29.94,1.3,2308.16,2344.11,2308.16,2299.34,0.0,9801660160.0
62,124,HSCAUI,恒生A股公用事业指数,3589.44,45.82,1.29,3541.61,3589.44,3533.56,3543.62,0.0,13025993728.0
63,124,HSHBI,恒生增幅指数,2615.04,33.3,1.29,2586.18,2642.55,2586.18,2581.74,649321424.0,15887280640.0
64,124,HSSCCSV,恒生港股通央企价值指数,3091.94,39.24,1.29,3063.17,3104.67,3063.17,3052.7,0.0,10012874752.0
65,124,HSSI,恒生综合小型股指数,1134.66,14.35,1.28,1124.49,1136.92,1124.49,1120.31,1475562064.0,5614191360.0
