指数名称,最新PE,PE分位,最新PB,PB分位,股息率,股息率分位,指数代码,指数开始时间,更新时间
道琼斯美国石油开发与生产,8.29,0.77,2.72,84.05,3.88,83.39,DJSOEP.GI,2013-03-26,2024-03-08
生物制品(申万),22.41,0.78,2.56,0.57,0.82,95.93,801152.SI,2003-10-16,2024-03-08
SHS互联网,22.68,0.93,3.14,4.26,0.65,98.33,930625.CSI,2015-04-21,2024-03-08
中国互联网50,16.15,0.98,2.11,1.07,0.88,99.15,H30533.CSI,2014-12-29,2024-03-08
国证生物医药,25.08,0.99,3.09,0.54,1.09,99.41,399441.SZ,2015-01-20,2024-03-08
新能电池,16.26,1.09,2.72,0.73,1.12,45.96,980032.CNI,2015-02-17,2024-03-08
SHS创新药,25.98,1.22,3.01,1.32,1.24,98.48,931409.CSI,2020-02-20,2024-03-08
宁组合,21.41,1.4,4.07,8.46,1.03,98.19,8841447.WI,,2024-03-08
创业板50,23.85,1.4,4.0,7.22,0.97,97.96,399673.SZ,2014-06-18,2024-03-08
300医药,24.58,1.48,3.59,1.81,1.45,99.38,000913.SH,2004-12-31,2024-03-08
国防军工(申万),46.47,1.48,2.62,25.15,0.54,96.91,801740.SI,2014-02-21,2024-03-08
电力设备(申万),16.32,1.56,2.24,17.83,1.5,98.44,801730.SI,2014-02-21,2024-03-08
HKC互联网,18.24,1.7,2.67,3.4,0.59,97.65,931637.CSI,2021-01-11,2024-03-08
CS新能车,15.88,1.74,2.74,7.35,1.37,93.63,399976.SZ,2014-11-28,2024-03-08
CS电池,18.56,1.75,2.67,25.11,1.08,94.31,931719.CSI,2013-07-15,2024-03-08
创业板指,27.08,1.9,3.58,5.23,0.99,98.39,399006.SZ,2010-06-01,2024-03-08
恒生互联网科技业,15.24,2.31,2.02,1.85,1.04,98.48,HSIII.HI,2015-08-17,2024-03-08
光伏设备(申万),11.8,2.34,2.5,10.55,2.26,97.58,801735.SI,2021-12-13,2024-03-08
创业板综,42.18,2.38,2.84,2.14,0.89,99.01,399102.SZ,2010-08-20,2024-03-08
港股通50(HKD),7.53,2.45,0.77,2.62,4.68,98.75,930931.CSI,2017-01-16,2024-03-08
创业板成长,24.53,2.48,4.12,16.1,0.91,94.92,399667.SZ,2013-01-07,2024-03-08
SHS消费龙头,22.57,2.88,4.86,52.97,2.53,94.74,931663.CSI,2015-03-13,2024-03-08
中证环保,16.06,2.96,2.21,14.41,2.04,95.65,000827.SH,2012-09-25,2024-03-08
SHS科技龙头,22.08,3.05,3.35,3.72,0.97,91.86,931524.CSI,2020-07-16,2024-03-08
澳洲标普200,14.57,3.17,2.12,62.34,4.49,57.33,AS51.GI,2014-11-24,2023-05-29
中证新能,13.27,3.22,2.12,8.66,2.06,97.6,399808.SZ,2015-02-10,2024-03-08
全指工业,15.91,3.26,1.58,6.28,1.97,95.08,000988.CSI,2011-08-02,2024-03-08
恒生科技指数,17.26,3.41,2.0,3.31,0.91,97.57,HSTECH.HI,2020-07-27,2024-03-08
内地低碳,15.54,3.45,2.4,17.78,2.17,96.18,000977.CSI,2011-01-21,2024-03-08
中证新能源,13.27,3.57,2.12,9.19,2.06,97.34,930771.CSI,2015-12-16,2024-03-08
细分机械,16.81,3.8,2.17,24.1,1.76,97.03,000812.CSI,2012-04-11,2024-03-08
中证医药,26.1,3.86,3.01,0.78,1.58,99.38,000933.SH,2009-07-03,2024-03-08
环保50,15.54,3.89,2.4,18.0,2.17,94.91,930614.CSI,2015-04-07,2024-03-08
中证高装,23.76,4.14,2.51,15.02,1.32,96.9,930599.CSI,2015-03-02,2024-03-08
创新100,31.47,4.53,3.43,5.64,1.23,94.62,931159.CSI,2019-05-16,2024-03-08
上证380,13.44,4.75,1.5,4.75,2.76,96.57,000009.SH,2010-11-29,2024-03-08
新材料,16.06,4.94,2.46,18.2,1.73,94.87,H30597.CSI,2015-02-13,2024-03-08
中证基建,7.68,5.01,0.8,3.77,2.88,95.45,930608.CSI,2015-03-31,2024-03-08
法国CAC40,13.86,5.02,1.68,72.77,2.93,25.53,FCHI.GI,1987-07-09,2023-05-29
CS消费50,21.39,5.05,4.54,4.64,2.56,91.3,931139.CSI,2019-03-20,2024-03-08
养老产业,18.52,5.12,1.85,1.31,2.26,98.14,399812.SZ,2014-06-06,2024-03-08
创价值,24.69,5.14,4.32,3.69,1.25,96.94,399295.SZ,2019-01-23,2024-03-08
环保(申万),18.37,5.23,1.23,0.78,1.82,99.42,801970.SI,2021-12-13,2024-03-08
恒生指数,8.23,5.27,0.85,3.16,4.41,96.63,HSI.HI,1969-11-24,2024-03-08
深创100,17.75,5.52,2.65,5.31,1.55,92.54,399088.SZ,2020-02-18,2024-03-08
SHS云计算,19.21,5.52,3.45,5.63,0.73,95.86,931470.CSI,2020-04-21,2024-03-08
俄罗斯RTS,4.37,6.15,0.77,28.1,10.54,98.78,RTS.GI,1899-12-30,2022-11-25
沪港深500,10.78,6.49,1.14,4.74,3.48,96.18,H30455.CSI,2014-11-28,2024-03-08
光伏产业,12.22,6.67,2.17,26.83,2.44,94.85,931151.CSI,2019-04-22,2024-03-08
英国富时100,11.77,7.13,1.63,21.52,3.7,22.0,FTSE.GI,1984-01-03,2024-03-08
中证军工,50.84,7.23,2.64,18.73,0.56,96.63,399967.SZ,2013-12-26,2024-03-08
湾创100,14.61,8.64,1.97,12.08,2.35,93.88,980001.CNI,2019-04-09,2024-03-08
国证2000,34.16,8.8,1.87,3.68,1.31,98.68,399303.SZ,2014-03-28,2024-03-08
中盘成长,14.83,8.9,2.54,19.93,2.43,98.15,399374.SZ,2010-01-04,2024-03-08
CS生医,30.52,8.95,4.08,0.63,1.52,99.18,930726.CSI,2015-08-05,2024-03-08
科创创业50,27.17,9.0,3.84,6.0,1.14,92.5,931643.CSI,2021-06-01,2024-03-08
380成长,13.79,9.03,2.41,19.33,2.76,95.96,000117.SH,2011-10-18,2024-03-08
全指可选,18.98,9.98,2.22,21.49,1.94,74.79,000989.SH,2011-08-02,2024-03-08
CS高端制,26.83,10.25,2.58,12.78,1.27,89.38,930820.CSI,2016-05-11,2024-03-08
化学制药(申万),30.16,10.72,2.41,0.86,0.99,82.01,801151.SI,2003-10-16,2024-03-08
建筑装饰(申万),8.94,11.03,0.76,2.84,2.49,94.77,801720.SI,2014-02-21,2024-03-08
深证100,17.55,11.09,2.31,13.02,1.83,97.0,399330.SZ,2006-01-24,2024-03-08
医药生物(申万),25.14,11.45,2.45,0.58,1.4,99.22,801150.SI,2003-10-16,2024-03-08
全指通信,21.73,11.46,1.88,16.7,1.85,90.6,000994.CSI,2011-08-02,2024-03-08
1000价值稳健,16.9,11.62,1.21,4.08,2.83,96.17,931588.CSI,2020-11-09,2024-03-08
深证成长,17.93,11.67,2.81,10.52,1.3,73.44,399346.SZ,2009-11-04,2024-03-08
SEEE碳中和,15.21,11.74,2.03,15.37,2.14,87.74,931755.CSI,2021-10-21,2024-03-08
中盘指数(申万),17.55,11.75,1.68,5.38,1.82,90.55,801812.SI,1999-12-30,2024-03-08
中证医疗,29.91,11.86,3.81,0.31,1.74,99.6,399989.SZ,2014-10-31,2024-03-08
食品饮料(申万),24.12,11.94,5.05,39.03,2.46,96.83,801120.SI,2003-10-16,2024-03-08
CS稀金属,13.51,12.06,2.23,1.87,1.9,97.85,930632.CSI,2015-05-12,2024-03-08
保险Ⅱ(申万),8.91,12.77,0.92,2.64,3.45,90.36,801194.SI,2003-10-16,2024-03-08
创成长,29.06,13.12,4.65,3.78,0.98,95.01,399296.SZ,2019-01-23,2024-03-08
中证基建工程,6.83,13.91,0.72,6.09,3.02,92.18,399995.SZ,2015-03-12,2024-03-08
CS物流,11.89,13.95,1.25,4.43,3.4,86.24,930716.CSI,2015-07-31,2024-03-08
有色金属(申万),16.2,14.04,2.06,16.14,1.85,96.38,801050.SI,2003-10-16,2024-03-08
小盘指数(申万),22.56,14.46,1.59,3.98,1.55,95.36,801813.SI,1999-12-30,2024-03-08
中证中药,24.48,14.47,2.64,13.63,1.83,92.53,930641.CSI,2015-05-19,2024-03-08
