代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sh000001,上证指数,3015.4807,38.459,1.292,2977.0221,2966.4166,3015.4807,2961.1479,372984687,412614978517
sh000002,Ａ股指数,3161.0122,40.296,1.291,3120.7165,3109.5991,3161.0122,3104.0681,372506380,412027732994
sh000003,Ｂ股指数,262.5219,3.235,1.248,259.2869,259.4106,262.5219,257.4168,351494,195044813
sh000004,工业指数,2688.3598,43.697,1.652,2644.6629,2634.3452,2688.3598,2628.7704,222268275,287033921829
sh000005,商业指数,2379.7104,31.978,1.362,2347.7328,2339.5433,2379.7104,2336.6377,32664437,29108245194
sh000006,地产指数,4688.6697,35.275,0.758,4653.3944,4629.349,4688.6697,4618.8588,6944317,3891771282
sh000007,公用指数,4313.9984,42.168,0.987,4271.8309,4260.1716,4313.9984,4253.5961,34925974,20553420816
sh000008,综合指数,2661.0855,15.635,0.591,2645.4507,2637.5436,2661.6509,2633.5004,76181684,72027619395
sh000009,上证380,5111.7853,82.924,1.649,5028.8615,5011.5273,5111.7853,5001.6989,56729122,75950123955
sh000010,上证180,7663.3709,65.726,0.865,7597.6446,7567.2602,7663.3709,7560.9459,86566925,131836708230
sh000011,基金指数,5954.6981,84.485,1.439,5870.2128,5859.1809,5955.8972,5853.5105,709798830,97838671220
sh000012,国债指数,209.126,0.206,0.098,208.9204,208.9369,209.1976,208.9317,30567041,30890264312
sh000015,红利指数,3105.2076,15.864,0.513,3089.3439,3079.6802,3111.0181,3068.4388,24763721,18801895967
sh000016,上证50,2405.0609,11.512,0.481,2393.5488,2383.1353,2405.0609,2381.5714,33600960,57324528048
sh000017,新综指,2547.881,32.496,1.292,2515.3854,2506.4066,2547.881,2501.9569,360668135,398085717950
sh000018,180金融,4410.3092,13.754,0.313,4396.5555,4386.1509,4424.3547,4377.8627,24897756,24550337790
sh000019,治理指数,1012.1879,5.259,0.522,1006.929,1003.174,1012.1879,1002.2631,79701624,90171143106
sh000020,中型综指,1060.1147,30.266,2.939,1029.8487,1025.4968,1060.1147,1020.4529,68635260,93911727742
sh000021,180治理,892.5439,3.147,0.354,889.3965,885.7502,892.5439,885.1115,54230075,64805740867
sh000022,沪公司债,236.6157,0.046,0.019,236.5702,236.593,236.6164,236.5812,942869,904884723
sh000025,180基建,1757.0008,9.253,0.529,1747.7481,1742.5695,1757.0913,1740.7542,18168785,13190763090
sh000026,180资源,3489.9531,14.853,0.427,3475.1,3458.4154,3501.6959,3452.7309,10277452,13445198463
