序号,内部编号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
1,124,HSTECF2L,恒生科技指期货2倍杠杆指数,293.09,18.27,6.65,280.41,294.79,271.12,274.82,0.0,
2,124,HST2LT,恒生科指股息累计2倍杠杆指数,1410.81,85.61,6.46,1352.85,1416.59,1303.94,1325.2,0.0,
3,124,HSTECH2L,恒生科指2倍杠杆指数,1177.81,71.47,6.46,1129.42,1182.63,1088.59,1106.34,0.0,
4,124,HSAMI,恒生汽车主题指数,3008.97,179.07,6.33,2910.44,3017.28,2898.82,2829.9,0.0,11598128640.0
5,124,HSCAITH,恒生A股资讯科技器材指数,3162.82,177.48,5.95,2963.89,3168.91,2958.03,2985.34,0.0,46096865280.0
6,124,HSCASS,恒生A股软件服务指数,2126.2,106.81,5.29,2008.99,2126.2,2003.34,2019.39,0.0,59400837632.0
7,124,HSSSHAE,恒生沪深港智能及电动车指数,5632.22,279.17,5.22,5439.28,5639.4,5436.63,5353.05,0.0,35264933120.0
8,124,HSSSHTS,恒生沪深港科技精选50指数,4689.03,227.44,5.1,4432.95,4689.66,4417.65,4461.59,0.0,22357723648.0
9,124,HSCASI,恒生A股软件开发指数,2468.58,118.57,5.05,2337.67,2468.58,2330.12,2350.01,0.0,28093314560.0
10,124,HSBAIT,恒生沪深港通大湾区IT业指数,2827.4,133.23,4.95,2681.19,2828.13,2662.68,2694.17,0.0,26959522816.0
11,125,990001,中华半导体芯片行业指数,6107.16,274.15,4.7,5794.42,6108.3,5767.6,5833.01,0.0,33704295936.0
12,124,HSCASEMI,恒生A股半导体指数,3369.94,149.74,4.65,3199.89,3370.47,3186.83,3220.2,0.0,41195536896.0
13,125,CESHKB,中华香港生物科技,4275.14,151.7,3.68,4158.46,4280.81,4117.8,4123.44,0.0,2642070800.0
14,124,HSCAEC,恒生A股电子零件指数,2880.25,99.34,3.57,2766.39,2880.25,2756.68,2780.91,0.0,22690834944.0
15,124,HSCICD,恒生非必需性消费指数,2360.89,79.38,3.48,2321.86,2365.98,2294.66,2281.51,0.0,18431159808.0
16,124,HSSCCD,恒生港股通非必需性消费指数,1620.48,54.08,3.45,1593.71,1623.63,1574.85,1566.4,0.0,16833448960.0
17,124,HSSCCDI,恒生港股通非必需性消费(可投资),1646.84,54.27,3.41,1620.9,1650.32,1600.05,1592.57,0.0,16537134848.0
18,124,HSIDI,恒生创新药指数,1653.15,54.3,3.4,1611.26,1656.71,1597.21,1598.85,0.0,3157186512.0
19,124,HSSCNE,恒生港股通新经济指数,2616.85,85.92,3.39,2565.7,2622.11,2522.07,2530.93,0.0,29353249792.0
20,124,HSSSHNC,恒生沪深港新世代通讯指数,4605.71,149.3,3.35,4440.6,4609.96,4424.98,4456.41,0.0,39724378880.0
