指数名称,最新PE,PE分位,最新PB,PB分位,股息率,股息率分位,指数代码,指数开始时间,更新时间
道琼斯美国石油开发与生产,8.29,0.77,2.72,84.4,3.88,83.73,DJSOEP.GI,2013-03-26,2024-02-26
电力设备(申万),15.87,0.78,2.17,15.32,1.54,99.14,801730.SI,2014-02-21,2024-02-27
宁组合,21.19,1.03,4.03,7.27,1.05,98.89,8841447.WI,,2024-02-27
光伏设备(申万),11.11,1.03,2.37,7.85,2.38,98.52,801735.SI,2021-12-13,2024-02-27
国防军工(申万),45.63,1.07,2.57,22.32,0.54,97.12,801740.SI,2014-02-21,2024-02-27
新能电池,16.33,1.09,2.77,0.96,1.11,45.26,980032.CNI,2015-02-17,2024-02-27
CS电池,18.21,1.12,2.66,24.93,1.08,94.43,931719.CSI,2013-07-15,2024-02-27
创业板指,26.36,1.28,3.56,4.45,1.0,98.68,399006.SZ,2010-06-01,2024-02-27
中证环保,15.28,1.31,2.13,9.24,2.12,97.49,000827.SH,2012-09-25,2024-02-27
中证新能,12.65,1.41,2.06,5.46,2.13,99.0,399808.SZ,2015-02-10,2024-02-27
SHS互联网,23.42,1.44,3.21,5.48,0.63,97.26,930625.CSI,2015-04-21,2024-02-27
创业板50,24.02,1.45,3.97,6.65,0.98,98.34,399673.SZ,2014-06-18,2024-02-27
CS新能车,15.86,1.56,2.76,7.69,1.37,93.74,399976.SZ,2014-11-28,2024-02-27
中证新能源,12.65,1.56,2.06,5.85,2.13,98.89,930771.CSI,2015-12-16,2024-02-27
国证生物医药,25.92,1.58,3.21,0.77,1.05,99.19,399441.SZ,2015-01-20,2024-02-27
SHS创新药,26.94,1.64,3.11,1.74,1.2,97.95,931409.CSI,2020-02-20,2024-02-27
内地低碳,14.69,1.85,2.31,12.45,2.25,97.41,000977.CSI,2011-01-21,2024-02-27
创业板综,41.81,1.93,2.86,2.42,0.88,99.06,399102.SZ,2010-08-20,2024-02-27
环保50,14.69,2.09,2.31,12.49,2.25,96.66,930614.CSI,2015-04-07,2024-02-27
300医药,25.05,2.26,3.66,2.67,1.42,99.01,000913.SH,2004-12-31,2024-02-27
中证高装,22.83,2.28,2.43,12.61,1.37,97.67,930599.CSI,2015-03-02,2024-02-27
中国互联网50,17.18,2.37,2.24,2.42,0.85,98.57,H30533.CSI,2014-12-29,2024-02-26
全指工业,15.58,2.4,1.56,3.97,2.0,95.91,000988.CSI,2011-08-02,2024-02-27
恒生互联网科技业,15.6,2.46,2.07,2.48,1.02,98.43,HSIII.HI,2015-08-17,2024-02-26
细分机械,15.79,2.48,2.08,17.88,1.84,97.69,000812.CSI,2012-04-11,2024-02-27
生物制品(申万),23.29,2.51,2.66,1.03,0.79,93.3,801152.SI,2003-10-16,2024-02-27
创价值,23.33,2.58,4.29,3.39,1.26,97.41,399295.SZ,2019-01-23,2024-02-27
创业板成长,24.74,2.6,4.09,14.7,0.92,95.33,399667.SZ,2013-01-07,2024-02-27
SHS消费龙头,22.53,2.75,4.86,53.12,2.62,96.15,931663.CSI,2015-03-13,2024-02-27
光伏产业,11.25,2.8,2.05,20.68,2.58,97.88,931151.CSI,2019-04-22,2024-02-27
上证380,13.3,2.98,1.49,4.09,2.79,97.6,000009.SH,2010-11-29,2024-02-27
HKC互联网,18.92,3.04,2.77,5.42,0.57,95.9,931637.CSI,2021-01-11,2024-02-27
澳洲标普200,14.57,3.17,2.12,62.34,4.49,57.33,AS51.GI,2014-11-24,2023-05-29
SHS科技龙头,22.25,3.2,3.37,3.99,0.96,91.45,931524.CSI,2020-07-16,2024-02-27
创新100,31.25,3.61,3.4,4.3,1.25,95.52,931159.CSI,2019-05-16,2024-02-27
港股通50(HKD),7.75,3.66,0.79,3.95,4.46,96.51,930931.CSI,2017-01-16,2024-02-26
新材料,15.83,4.09,2.44,17.81,1.74,95.31,H30597.CSI,2015-02-13,2024-02-27
CS消费50,20.78,4.09,4.53,4.34,2.67,94.83,931139.CSI,2019-03-20,2024-02-27
中证基建,7.61,4.24,0.79,3.37,2.91,96.73,930608.CSI,2015-03-31,2024-02-27
深创100,17.48,4.33,2.61,4.22,1.65,94.54,399088.SZ,2020-02-18,2024-02-27
法国CAC40,13.86,5.0,1.68,72.86,2.93,25.45,FCHI.GI,1987-07-09,2023-05-29
沪港深500,10.63,5.42,1.12,3.61,3.51,96.65,H30455.CSI,2014-11-28,2024-02-26
中证医药,26.57,5.63,3.07,1.64,1.55,99.01,000933.SH,2009-07-03,2024-02-27
恒生科技指数,18.15,5.89,2.09,6.01,0.87,95.99,HSTECH.HI,2020-07-27,2024-02-27
环保(申万),18.57,6.02,1.24,0.62,1.79,99.59,801970.SI,2021-12-13,2024-02-27
